# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	2.5749
1,	4.3571
2,	6.5361
1,	8.5167
2,	10.4973
1,	12.4779
2,	14.6569
1,	16.4391
2,	18.6181
1,	20.5987
2,	22.5793
1,	24.5599
2,	26.5405
1,	28.5211
2,	30.7001
1,	32.4823
2,	34.6613
1,	36.6419
2,	38.6225
1,	40.6031
2,	42.5837
1,	44.5643
2,	46.7433
1,	48.7239
2,	50.7045
1,	52.6851
2,	54.6657
1,	56.6463
2,	58.8253
1,	60.8059
