# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	4.1664
1,	6.1504
1,	7.9360
1,	9.7216
1,	12.1024
1,	14.2848
1,	16.2688
1,	18.0544
1,	20.0384
1,	22.0224
1,	24.0064
1,	25.9904
1,	27.9744
1,	29.7600
1,	32.3392
1,	34.3232
1,	36.1088
1,	38.2912
1,	40.2752
1,	42.2592
1,	44.2432
1,	46.2272
1,	48.2112
1,	50.3936
1,	52.3776
1,	54.3616
1,	56.3456
1,	58.3296
1,	60.5120
1,	62.4960
