# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	5.5458
1,	7.5264
2,	9.5070
1,	11.4876
2,	13.4682
1,	15.6472
2,	17.6278
1,	19.6084
2,	21.7874
1,	23.5696
2,	25.7486
1,	27.5317
2,	29.7098
1,	31.6904
2,	33.6710
1,	35.6516
2,	37.6331
1,	39.6137
2,	41.5943
1,	43.5749
2,	45.5555
1,	47.7336
2,	49.9126
1,	51.6957
2,	53.6763
1,	55.6569
2,	57.6375
1,	59.8165
2,	61.7971
1,	63.7777
2,	65.7583
1,	67.7389
2,	69.7195
1,	71.8985
