# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	2.9709
1,	4.9515
2,	6.9321
1,	8.9127
2,	11.0917
1,	13.0723
2,	15.0529
1,	17.0335
2,	19.0141
1,	20.9947
2,	23.1737
1,	25.1543
2,	27.1349
1,	29.1155
2,	31.0961
1,	33.0775
2,	35.2557
1,	37.2363
2,	39.2169
1,	41.1975
2,	43.1781
1,	45.1595
2,	47.3377
1,	49.3183
2,	51.2989
1,	53.2795
2,	55.2609
1,	57.2415
2,	59.2221
1,	61.4003
