# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	2.1790
1,	4.1596
2,	6.1402
1,	8.1208
2,	8.1208
2,	10.1014
1,	12.0820
2,	14.2610
1,	16.2416
2,	18.2222
1,	20.2028
2,	22.1834
1,	24.1640
2,	26.1446
1,	28.3236
2,	30.3042
1,	32.2848
2,	34.2654
1,	36.2460
2,	38.2266
1,	40.2072
2,	42.3862
1,	44.3668
2,	46.3474
1,	48.3280
2,	50.3086
1,	52.2892
2,	54.2707
1,	56.4488
2,	58.4294
1,	60.4100
