# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	4.7539
1,	6.5361
2,	8.5167
1,	10.4973
2,	12.6763
1,	14.6569
2,	16.6375
1,	18.6181
2,	20.5987
1,	22.7777
2,	24.7583
1,	26.7389
2,	28.7195
1,	30.7001
2,	32.6807
1,	34.6613
2,	36.6419
1,	38.6225
2,	40.6040
1,	42.7821
2,	44.7627
1,	46.7433
2,	48.9223
1,	50.9029
2,	52.8835
1,	54.8641
2,	56.8447
1,	58.8253
2,	61.0043
