# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	3.9680
1,	5.7536
1,	7.5392
1,	9.5232
1,	11.5072
1,	13.4912
1,	15.4752
1,	17.4592
1,	19.4432
1,	21.4272
1,	23.8080
1,	25.7920
1,	27.5776
1,	29.5616
1,	31.5456
1,	33.5296
1,	35.5136
1,	37.4976
1,	39.6800
1,	41.8624
1,	43.8464
1,	45.6320
1,	47.6160
1,	49.6000
1,	51.5840
1,	53.7664
1,	55.3536
1,	57.7344
1,	59.7184
1,	61.7024
